,state,population_over_15,married_males_last_year,married_females_last_year,divorced_males_last_year,divorced_females_last_year,state,year,married_last_year,divorced_last_year
310,Michigan,8138464,65284,68218,33036.0,31926.0,26,2016,133502,64962.0
311,Minnesota,4446706,37915,38653,14617.0,15299.0,27,2016,76568,29916.0
312,Mississippi,2393019,18864,20401,8595.0,10132.0,28,2017,39265,18727.0
313,Missouri,4963584,47241,47112,23241.0,21080.0,29,2017,94353,44321.0
314,Montana,859328,6933,7540,3501.0,2794.0,30,2017,14473,6295.0
315,Nebraska,1521245,13326,12469,5630.0,6454.0,31,2017,25795,12084.0
316,Nevada,2429800,24773,22659,9382.0,11640.0,32,2017,47432,21022.0
317,New Hampshire,1133744,9908,9055,3865.0,5488.0,33,2017,18963,9353.0
318,New Jersey,7377448,52350,52582,22944.0,23708.0,34,2017,104932,46652.0
319,New Mexico,1681966,11256,12962,7709.0,6774.0,35,2017,24218,14483.0
320,New York,16410547,133485,130312,41808.0,50703.0,36,2017,263797,92511.0
321,North Carolina,8377139,73501,74922,31567.0,36660.0,37,2017,148423,68227.0
322,North Dakota,606716,6746,6774,2371.0,2595.0,38,2017,13520,4966.0
323,Ohio,9515823,83849,84776,32434.0,37475.0,39,2017,168625,69909.0
324,Oklahoma,3129329,31396,32077,16251.0,16843.0,40,2017,63473,33094.0
325,Oregon,3416916,30763,30671,13937.0,13949.0,41,2017,61434,27886.0
326,Pennsylvania,10611437,85287,85831,34528.0,37563.0,42,2017,171118,72091.0
327,Rhode Island,890333,6121,5075,2294.0,3321.0,44,2017,11196,5615.0
328,South Carolina,4110098,32506,34628,16013.0,18612.0,45,2017,67134,34625.0
329,South Dakota,690282,6577,6175,3847.0,2670.0,46,2017,12752,6517.0
330,Tennessee,5466987,53954,55517,24776.0,28847.0,47,2017,109471,53623.0
331,Texas,22164607,229661,224915,88612.0,92008.0,48,2017,454576,180620.0
332,Vermont,526751,3981,4008,1364.0,1945.0,50,2017,7989,3309.0
333,Utah,2327933,32506,31711,11275.0,10544.0,49,2017,64217,21819.0
334,Virginia,6919620,65344,63509,27878.0,28481.0,51,2017,128853,56359.0
335,Washington,6028802,58637,54377,24541.0,25563.0,53,2017,113014,50104.0
336,West Virginia,1505831,12306,12127,8397.0,6888.0,54,2017,24433,15285.0
337,Wisconsin,4739661,39469,38717,16879.0,16100.0,55,2017,78186,32979.0
338,Wyoming,462614,5248,5493,2226.0,1810.0,56,2017,10741,4036.0
339,Puerto Rico,2812219,10386,9385,9604.0,8990.0,72,2017,19771,18594.0
340,Alabama,3972124,30238,31366,18304.0,22690.0,01,2017,61604,40994.0
341,Alaska,583639,7702,6985,2780.0,2142.0,02,2017,14687,4922.0
342,Arizona,5663228,45466,44791,25544.0,24076.0,04,2017,90257,49620.0
343,Arkansas,2418049,26482,26713,13388.0,16520.0,05,2017,53195,29908.0
344,California,32009857,273105,262779,97315.0,112111.0,06,2017,535884,209426.0
345,Colorado,4558575,50942,50143,18616.0,23185.0,08,2017,101085,41801.0
346,Delaware,792511,7635,7530,2035.0,4730.0,10,2017,15165,6765.0
347,District of Columbia,585161,6586,6337,1411.0,1079.0,11,2017,12923,2490.0
348,Connecticut,2986837,23512,20367,10618.0,10775.0,09,2017,43879,21393.0
349,Florida,17514198,148429,141699,67752.0,74210.0,12,2017,290128,141962.0
350,Georgia,8349724,76816,74997,37756.0,39539.0,13,2017,151813,77295.0
351,Idaho,1349449,14999,15472,6352.0,7785.0,16,2017,30471,14137.0
352,Hawaii,1167820,11323,10229,2958.0,2994.0,15,2017,21552,5952.0
353,Illinois,10413077,83333,84816,29832.0,33270.0,17,2017,168149,63102.0
354,Indiana,5364611,49777,54127,23863.0,24510.0,18,2017,103904,48373.0
355,Iowa,2537862,22748,22644,8527.0,10044.0,19,2017,45392,18571.0
356,Kansas,2318621,23789,24283,9455.0,8811.0,20,2017,48072,18266.0
357,Kentucky,3612529,39309,39326,16881.0,21685.0,21,2017,78635,38566.0
358,Louisiana,3760394,28745,27538,14448.0,15549.0,22,2017,56283,29997.0
359,Maine,1128297,7440,7837,4740.0,5860.0,23,2017,15277,10600.0
360,Maryland,4936544,44791,44612,15598.0,21358.0,24,2017,89403,36956.0
361,Massachusetts,5738766,46746,46167,15987.0,23792.0,25,2017,92913,39779.0
362,Michigan,8180585,67680,67503,29947.0,31821.0,26,2017,135183,61768.0
363,Minnesota,4493286,34662,35016,14646.0,16317.0,27,2017,69678,30963.0
364,Wisconsin,4765395,36753,37613,15749.0,14995.0,55,2018,74366,30744.0
365,Wyoming,466760,4036,5285,1955.0,2170.0,56,2018,9321,4125.0
366,Puerto Rico,2720841,8460,10016,6600.0,6100.0,72,2018,18476,12700.0
367,Mississippi,2401006,23225,20618,9223.0,10918.0,28,2018,43843,20141.0
368,Missouri,4981108,46612,49442,21238.0,23500.0,29,2018,96054,44738.0
369,Montana,870969,7117,6775,3187.0,3975.0,30,2018,13892,7162.0
370,Nebraska,1531482,13275,12452,5228.0,5405.0,31,2018,25727,10633.0
371,Nevada,2459348,22065,22960,11732.0,11813.0,32,2018,45025,23545.0
372,New Hampshire,1147794,8051,9060,4460.0,4878.0,33,2018,17111,9338.0
373,New Jersey,7299829,56183,54029,17768.0,21328.0,34,2018,110212,39096.0
374,New Mexico,1698061,12288,14131,5581.0,5671.0,35,2018,26419,11252.0
375,New York,16168651,128479,125834,42949.0,47864.0,36,2018,254313,90813.0
376,North Carolina,8485855,74132,69067,30149.0,38011.0,37,2018,143199,68160.0
377,North Dakota,609824,6078,6397,2314.0,1407.0,38,2018,12475,3721.0
378,Ohio,9552948,79130,78938,32761.0,35313.0,39,2018,158068,68074.0
379,Oklahoma,3144933,32359,32545,16176.0,17258.0,40,2018,64904,33434.0
380,Oregon,3469423,32608,32857,12868.0,17783.0,41,2018,65465,30651.0
381,Pennsylvania,10622654,78914,80354,34022.0,35302.0,42,2018,159268,69324.0
382,Rhode Island,890851,6333,6521,2215.0,2253.0,44,2018,12854,4468.0
383,South Carolina,4165633,28696,31362,14659.0,16243.0,45,2018,60058,30902.0
384,South Dakota,701477,6624,6311,2107.0,4248.0,46,2018,12935,6355.0
385,Tennessee,5517634,47886,49833,23223.0,25881.0,47,2018,97719,49104.0
386,Texas,22535123,212137,206508,91086.0,96494.0,48,2018,418645,187580.0
387,Vermont,531532,4245,5161,1182.0,1724.0,50,2018,9406,2906.0
388,Utah,2382849,27423,27520,8929.0,11009.0,49,2018,54943,19938.0
389,Virginia,6966390,65848,64607,27296.0,28946.0,51,2018,130455,56242.0
390,Washington,6142755,60223,57667,21571.0,29563.0,53,2018,117890,51134.0
391,West Virginia,1507317,11998,11941,5494.0,7497.0,54,2018,23939,12991.0
392,Alabama,3987483,33795,35583,19260.0,20527.0,01,2018,69378,39787.0
393,Alaska,582974,6321,5799,2356.0,2105.0,02,2018,12120,4461.0
394,Arizona,5807263,55319,57233,21857.0,23552.0,04,2018,112552,45409.0
395,Arkansas,2429708,22694,22435,12477.0,16308.0,05,2018,45129,28785.0
396,California,32083562,266001,258534,98322.0,108127.0,06,2018,524535,206449.0
397,Colorado,4643242,43284,45244,21389.0,20064.0,08,2018,88528,41453.0
398,Delaware,798598,6124,6227,,,10,2018,12351,
399,District of Columbia,590722,7175,7009,1322.0,1808.0,11,2018,14184,3130.0
400,Connecticut,2975536,20383,20252,8607.0,10423.0,09,2018,40635,19030.0
401,Florida,17791739,148381,143698,64018.0,73225.0,12,2018,292079,137243.0
402,Georgia,8451927,76242,71030,34604.0,35445.0,13,2018,147272,70049.0
403,Idaho,1386609,17584,15675,5566.0,5667.0,16,2018,33259,11233.0
404,Hawaii,1164044,12088,11447,4550.0,3884.0,15,2018,23535,8434.0
405,Illinois,10381247,91940,88628,30851.0,35231.0,17,2018,180568,66082.0
406,Indiana,5392554,46963,45918,22781.0,27448.0,18,2018,92881,50229.0
407,Iowa,2545586,23797,22584,7272.0,9214.0,19,2018,46381,16486.0
408,Kansas,2325350,23264,22031,8620.0,10116.0,20,2018,45295,18736.0
409,Kentucky,3629102,31061,31308,18755.0,19444.0,21,2018,62369,38199.0
410,Louisiana,3742752,30149,28691,14418.0,14803.0,22,2018,58840,29221.0
411,Maine,1134585,6765,7722,4818.0,4818.0,23,2018,14487,9636.0
412,Maryland,4931235,41194,43479,17986.0,19045.0,24,2018,84673,37031.0
413,Massachusetts,5783050,47651,46931,14742.0,22596.0,25,2018,94582,37338.0
414,Michigan,8220666,64531,66312,30112.0,28985.0,26,2018,130843,59097.0
415,Minnesota,4525167,37858,38571,13660.0,16315.0,27,2018,76429,29975.0
416,Mississippi,2395111,19741,19804,7633.0,10880.0,28,2019,39545,18513.0
417,Missouri,4999389,45821,47031,22084.0,23366.0,29,2019,92852,45450.0
418,Montana,880322,7801,6856,2852.0,3820.0,30,2019,14657,6672.0
419,Nebraska,1536162,13696,14534,5071.0,5312.0,31,2019,28230,10383.0
420,Nevada,2503983,22962,22346,10769.0,12740.0,32,2019,45308,23509.0
421,New Hampshire,1151800,8530,8643,2367.0,4802.0,33,2019,17173,7169.0
422,New Jersey,7282469,57051,52650,17022.0,23570.0,34,2019,109701,40592.0
423,New Mexico,1702893,12037,12298,6369.0,8805.0,35,2019,24335,15174.0
424,New York,16117350,130553,119456,41635.0,51468.0,36,2019,250009,93103.0
425,North Carolina,8589271,66442,70586,31180.0,35797.0,37,2019,137028,66977.0
426,North Dakota,612127,6646,5862,2247.0,2599.0,38,2019,12508,4846.0
427,Ohio,9559851,76171,78342,33766.0,40717.0,39,2019,154513,74483.0
428,Oklahoma,3162944,30383,31370,14257.0,16798.0,40,2019,61753,31055.0
429,Oregon,3504094,29913,29117,16561.0,14790.0,41,2019,59030,31351.0
430,Pennsylvania,10628076,84199,82158,33717.0,33320.0,42,2019,166357,67037.0
431,Rhode Island,892832,6113,5709,3777.0,3051.0,44,2019,11822,6828.0
432,South Carolina,4224180,33708,33375,11661.0,14619.0,45,2019,67083,26280.0
433,South Dakota,703693,5884,6032,2534.0,2099.0,46,2019,11916,4633.0
434,Tennessee,5572864,47812,49573,25675.0,24457.0,47,2019,97385,50132.0
435,Texas,22833954,220268,210648,88772.0,99315.0,48,2019,430916,188087.0
436,Vermont,531842,3256,3366,1732.0,1831.0,50,2019,6622,3563.0
437,Utah,2434424,25336,25226,8196.0,11459.0,49,2019,50562,19655.0
438,Virginia,6988054,63755,63459,26397.0,28432.0,51,2019,127214,54829.0
439,Washington,6225423,64729,65458,22130.0,24437.0,53,2019,130187,46567.0
440,West Virginia,1497185,11523,11904,6493.0,6410.0,54,2019,23427,12903.0
441,Wisconsin,4781987,36803,37128,13908.0,15505.0,55,2019,73931,29413.0
442,Wyoming,466224,6329,5092,1609.0,2284.0,56,2019,11421,3893.0
443,Puerto Rico,2734729,10031,11364,5603.0,6865.0,72,2019,21395,12468.0
444,Illinois,10353312,82007,83916,29693.0,32978.0,17,2019,165923,62671.0
445,Georgia,8540772,72899,76748,33422.0,39301.0,13,2019,149647,72723.0
446,Idaho,1416602,14005,13373,8176.0,5634.0,16,2019,27378,13810.0
447,Hawaii,1163465,8918,9045,3184.0,3889.0,15,2019,17963,7073.0
448,Indiana,5434807,47678,47051,24798.0,25116.0,18,2019,94729,49914.0
449,Iowa,2554896,20242,20164,8065.0,8148.0,19,2019,40406,16213.0
450,Kansas,2329808,21904,21491,7932.0,10829.0,20,2019,43395,18761.0
451,Kentucky,3637530,31568,31895,15427.0,18831.0,21,2019,63463,34258.0
452,Louisiana,3740573,27638,27239,13172.0,14108.0,22,2019,54877,27280.0
453,Maine,1143655,10776,11795,4008.0,2806.0,23,2019,22571,6814.0
454,Maryland,4937192,39512,40050,19247.0,18166.0,24,2019,79562,37413.0
455,Massachusetts,5786309,44932,46122,15334.0,19207.0,25,2019,91054,34541.0
456,Michigan,8222619,66787,66745,30397.0,31205.0,26,2019,133532,61602.0
457,Minnesota,4555944,39537,40710,14079.0,15352.0,27,2019,80247,29431.0
458,Connecticut,2975029,19086,19018,9865.0,10871.0,09,2019,38104,20736.0
459,Florida,17964694,144226,141275,74471.0,74952.0,12,2019,285501,149423.0
460,Alabama,4004468,32426,31765,16299.0,19059.0,01,2019,64191,35358.0
461,Alaska,578225,6430,4900,1663.0,1899.0,02,2019,11330,3562.0
462,Arizona,5919085,48699,46807,22454.0,24599.0,04,2019,95506,47053.0
463,Arkansas,2439812,22283,20716,11433.0,13514.0,05,2019,42999,24947.0
464,California,32124112,259807,251700,90565.0,104935.0,06,2019,511507,195500.0
465,Colorado,4720810,50155,49026,14744.0,18639.0,08,2019,99181,33383.0
466,Delaware,805442,5316,4918,4119.0,3952.0,10,2019,10234,8071.0
467,District of Columbia,593107,7324,6771,1027.0,1501.0,11,2019,14095,2528.0
468,Alabama,4113516,40545,38495,20837.0,16327.0,01,2021,79040,37164.0
469,Puerto Rico,2833104,6322,7046,4387.0,5803.0,72,2021,13368,10190.0
470,Arizona,5951507,49573,46873,18886.0,20781.0,04,2021,96446,39667.0
471,Arkansas,2445206,26006,24661,13859.0,13777.0,05,2021,50667,27636.0
472,California,32021241,230326,211136,82895.0,95602.0,06,2021,441462,178497.0
473,Colorado,4793694,48058,46978,18115.0,17921.0,08,2021,95036,36036.0
474,Connecticut,3018535,21017,18484,5589.0,7514.0,09,2021,39501,13103.0
475,Delaware,832027,5392,5896,3106.0,2331.0,10,2021,11288,5437.0
476,District of Columbia,559673,6329,5587,1263.0,1438.0,11,2021,11916,2701.0
477,Florida,18251571,131219,128931,61366.0,69674.0,12,2021,260150,131040.0
478,Georgia,8731410,74967,75723,36413.0,34191.0,13,2021,150690,70604.0
479,Hawaii,1184801,8692,8764,2333.0,3427.0,15,2021,17456,5760.0
480,Idaho,1515845,13354,12867,6684.0,8429.0,16,2021,26221,15113.0
481,Illinois,10376721,68240,63727,29374.0,29777.0,17,2021,131967,59151.0
482,Indiana,5500676,49990,48571,22578.0,23385.0,18,2021,98561,45963.0
483,Iowa,2588040,20524,19702,6729.0,8843.0,19,2021,40226,15572.0
484,Kansas,2354938,20209,18612,8078.0,8065.0,20,2021,38821,16143.0
485,Kentucky,3672905,32019,32282,13578.0,15478.0,21,2021,64301,29056.0
486,Louisiana,3725807,25169,25924,12047.0,15729.0,22,2021,51093,27776.0
487,Maine,1168883,7376,8372,4675.0,4663.0,23,2021,15748,9338.0
488,Maryland,5042297,33992,33327,16097.0,17893.0,24,2021,67319,33990.0
489,Massachusetts,5871307,37120,35764,13259.0,14041.0,25,2021,72884,27300.0
490,Michigan,8287187,57480,59533,23494.0,23794.0,26,2021,117013,47288.0
491,Minnesota,4628858,35397,33065,14126.0,14085.0,27,2021,68462,28211.0
492,Mississippi,2382518,18183,18874,7334.0,12048.0,28,2021,37057,19382.0
493,Missouri,5026699,43720,44961,19284.0,18757.0,29,2021,88681,38041.0
494,Montana,910599,6196,7351,4135.0,3757.0,30,2021,13547,7892.0
495,Nebraska,1563814,12044,12309,5596.0,6327.0,31,2021,24353,11923.0
496,Nevada,2567541,19527,21641,10284.0,9787.0,32,2021,41168,20071.0
497,New Hampshire,1180473,6980,7114,4639.0,2541.0,33,2021,14094,7180.0
498,New Jersey,7606368,50116,47800,23843.0,18758.0,34,2021,97916,42601.0
499,New Mexico,1728213,12865,13362,4444.0,5478.0,35,2021,26227,9922.0
500,New York,16443249,112348,108227,36719.0,47663.0,36,2021,220575,84382.0
501,North Carolina,8660874,68162,68383,33649.0,36757.0,37,2021,136545,70406.0
502,North Dakota,620127,6595,5895,2055.0,2453.0,38,2021,12490,4508.0
503,Ohio,9636748,74788,76511,34550.0,34685.0,39,2021,151299,69235.0
504,Oklahoma,3195710,31087,31769,12198.0,15127.0,40,2021,62856,27325.0
505,Oregon,3540546,26397,26026,13736.0,14042.0,41,2021,52423,27778.0
506,Pennsylvania,10766654,82293,75047,33467.0,32304.0,42,2021,157340,65771.0
507,Rhode Island,925558,6625,5881,2841.0,2339.0,44,2021,12506,5180.0
508,South Carolina,4276713,28815,30220,10267.0,17205.0,45,2021,59035,27472.0
509,South Dakota,711925,6094,5441,2156.0,2528.0,46,2021,11535,4684.0
510,Tennessee,5707432,50085,50794,23696.0,24941.0,47,2021,100879,48637.0
511,Texas,23373981,207617,198733,82920.0,89864.0,48,2021,406350,172784.0
512,Utah,2561556,28759,28232,10873.0,9279.0,49,2021,56991,20152.0
513,Vermont,550276,3749,3319,958.0,2151.0,50,2021,7068,3109.0
514,Virginia,7088043,61399,57125,27733.0,23588.0,51,2021,118524,51321.0
515,Washington,6346203,49201,48113,16686.0,25799.0,53,2021,97314,42485.0
516,West Virginia,1486191,9302,9149,5525.0,5886.0,54,2021,18451,11411.0
517,Wisconsin,4852416,34062,36512,12723.0,13738.0,55,2021,70574,26461.0
518,Wyoming,471226,4122,4252,2208.0,2044.0,56,2021,8374,4252.0
519,Alaska,581897,7241,6491,2955.0,1851.0,02,2021,13732,4806.0
520,Alabama,4160117,38969,38022,16699.0,19709.0,01,2022,76991,36408.0
521,Alaska,586271,7097,5104,1821.0,1508.0,02,2022,12201,3329.0
522,Arizona,6063874,50148,51736,22221.0,22297.0,04,2022,101884,44518.0
523,Arkansas,2471030,24523,23737,13516.0,14921.0,05,2022,48260,28437.0
524,California,32075348,270661,254338,85119.0,94652.0,06,2022,524999,179771.0
525,Colorado,4849513,52127,50056,17774.0,20303.0,08,2022,102183,38077.0
526,Connecticut,3034370,23180,22567,7883.0,9989.0,09,2022,45747,17872.0
527,Delaware,846915,6648,6347,3513.0,3992.0,10,2022,12995,7505.0
528,District of Columbia,563942,6023,7287,1480.0,783.0,11,2022,13310,2263.0
529,Florida,18720294,159935,150076,63454.0,69400.0,12,2022,310011,132854.0
530,Georgia,8867492,84781,81133,35960.0,39910.0,13,2022,165914,75870.0
531,Hawaii,1190764,9283,8048,3403.0,4221.0,15,2022,17331,7624.0
532,Idaho,1559674,13934,14034,5406.0,7165.0,16,2022,27968,12571.0
533,Illinois,10364331,86492,80428,27238.0,30122.0,17,2022,166920,57360.0
534,Indiana,5549095,49554,47137,22157.0,25343.0,18,2022,96691,47500.0
535,Iowa,2612361,21116,21764,7855.0,9061.0,19,2022,42880,16916.0
536,Kansas,2370725,22644,21188,6404.0,9829.0,20,2022,43832,16233.0
537,Kentucky,3686729,29729,30540,14439.0,18616.0,21,2022,60269,33055.0
538,Louisiana,3718506,29717,27800,14023.0,16228.0,22,2022,57517,30251.0
539,Maine,1184764,8789,8634,4016.0,3858.0,23,2022,17423,7874.0
540,Maryland,5055342,42004,41377,17607.0,21962.0,24,2022,83381,39569.0
541,Massachusetts,5893186,47679,45487,13595.0,17978.0,25,2022,93166,31573.0
542,Michigan,8310382,64559,67523,23237.0,26110.0,26,2022,132082,49347.0
543,Minnesota,4656439,37016,37136,12956.0,13228.0,27,2022,74152,26184.0
544,Mississippi,2388374,21044,21442,7452.0,10371.0,28,2022,42486,17823.0
545,Missouri,5058244,44633,49004,17755.0,19359.0,29,2022,93637,37114.0
546,Montana,930330,7892,8080,2839.0,3105.0,30,2022,15972,5944.0
547,Nebraska,1578032,16610,16412,5922.0,5604.0,31,2022,33022,11526.0
548,Nevada,2612414,24416,25657,10605.0,10183.0,32,2022,50073,20788.0
549,New Hampshire,1193514,9309,11175,3543.0,3765.0,33,2022,20484,7308.0
550,New Jersey,7628765,59933,55946,21115.0,20104.0,34,2022,115879,41219.0
551,New Mexico,1743814,11404,10648,4521.0,7996.0,35,2022,22052,12517.0
552,New York,16389978,138265,123941,43326.0,48203.0,36,2022,262206,91529.0
553,North Carolina,8814897,87565,83022,30121.0,37073.0,37,2022,170587,67194.0
554,North Dakota,627667,5964,5671,866.0,2520.0,38,2022,11635,3386.0
555,Ohio,9655506,75949,74337,30115.0,33206.0,39,2022,150286,63321.0
556,Oklahoma,3234342,30489,30522,14653.0,15259.0,40,2022,61011,29912.0
557,Oregon,3561134,28978,29054,13153.0,13140.0,41,2022,58032,26293.0
558,Pennsylvania,10822275,92437,85590,30779.0,32766.0,42,2022,178027,63545.0
559,Rhode Island,928056,8597,8643,2637.0,3181.0,44,2022,17240,5818.0
560,South Carolina,4364450,45701,46606,13929.0,17009.0,45,2022,92307,30938.0
561,South Dakota,728612,5391,5606,2234.0,2853.0,46,2022,10997,5087.0
562,Tennessee,5787189,54137,50485,24405.0,26961.0,47,2022,104622,51366.0
563,Texas,23903920,240585,229790,84520.0,89194.0,48,2022,470375,173714.0
564,Utah,2620383,26703,25504,10435.0,10481.0,49,2022,52207,20916.0
565,Vermont,554459,5115,4761,1876.0,1302.0,50,2022,9876,3178.0
566,Virginia,7150269,69555,64767,21678.0,28809.0,51,2022,134322,50487.0
567,Washington,6426623,68321,61701,21184.0,22342.0,53,2022,130022,43526.0
568,West Virginia,1488651,10845,10925,8167.0,7256.0,54,2022,21770,15423.0
569,Wisconsin,4880508,38473,37348,16429.0,14519.0,55,2022,75821,30948.0
570,Wyoming,474965,4465,4591,2094.0,2555.0,56,2022,9056,4649.0
571,Puerto Rico,2818405,8265,9408,7198.0,7659.0,72,2022,17673,14857.0
572,Alabama,4183456,35870,38632,15923.0,20072.0,01,2023,74502,35995.0
573,Alaska,587506,6023,6275,2318.0,3471.0,02,2023,12298,5789.0
574,Arizona,6149973,58296,53509,19469.0,22960.0,04,2023,111805,42429.0
575,Arkansas,2496533,20249,19906,10210.0,11035.0,05,2023,40155,21245.0
576,California,32099889,265836,256586,85063.0,104529.0,06,2023,522422,189592.0
577,Colorado,4892956,51773,50291,17478.0,19444.0,08,2023,102064,36922.0
578,Connecticut,3033170,22740,21497,8212.0,7349.0,09,2023,44237,15561.0
579,Delaware,858290,5309,5696,3055.0,4881.0,10,2023,11005,7936.0
580,District of Columbia,569959,6909,5886,1411.0,1625.0,11,2023,12795,3036.0
581,Florida,19035619,178784,164445,64100.0,79000.0,12,2023,343229,143100.0
582,Georgia,8972322,79343,78277,31175.0,34832.0,13,2023,157620,66007.0
583,Hawaii,1188673,11421,10521,3383.0,3262.0,15,2023,21942,6645.0
584,Idaho,1587304,13696,14235,5749.0,6931.0,16,2023,27931,12680.0
585,Illinois,10355562,88282,81274,33211.0,29229.0,17,2023,169556,62440.0
586,Indiana,5574487,56575,56599,19697.0,24443.0,18,2023,113174,44140.0
587,Iowa,2614371,21652,21537,8002.0,8680.0,19,2023,43189,16682.0
588,Kansas,2381110,23035,23705,6789.0,8672.0,20,2023,46740,15461.0
589,Kentucky,3694195,38916,37429,14275.0,16929.0,21,2023,76345,31204.0
590,Louisiana,3698398,25484,25834,8664.0,13464.0,22,2023,51318,22128.0
591,Maine,1196853,8787,8936,2848.0,4727.0,23,2023,17723,7575.0
592,Maryland,5066739,46659,45026,17352.0,19931.0,24,2023,91685,37283.0
593,Massachusetts,5912054,51927,49977,17225.0,22330.0,25,2023,101904,39555.0
594,Michigan,8314793,66093,64041,23691.0,27680.0,26,2023,130134,51371.0
595,Minnesota,4676415,38085,37283,15814.0,14218.0,27,2023,75368,30032.0
596,Mississippi,2396940,21234,23460,10518.0,10127.0,28,2023,44694,20645.0
597,Missouri,5076786,42855,46702,18503.0,20455.0,29,2023,89557,38958.0
598,Montana,939482,8531,8890,3270.0,3352.0,30,2023,17421,6622.0
599,Nebraska,1586300,15557,14000,4532.0,5857.0,31,2023,29557,10389.0
600,Nevada,2635992,23124,20930,11988.0,12459.0,32,2023,44054,24447.0
601,New Hampshire,1199031,9819,9081,3864.0,3215.0,33,2023,18900,7079.0
602,New Jersey,7646402,67764,60618,19583.0,24468.0,34,2023,128382,44051.0
603,New Mexico,1750707,12201,12101,7051.0,5797.0,35,2023,24302,12848.0
604,New York,16321357,139436,126577,43623.0,52164.0,36,2023,266013,95787.0
605,North Carolina,8940919,84886,80114,28912.0,26642.0,37,2023,165000,55554.0
606,North Dakota,633643,5473,5969,2382.0,3312.0,38,2023,11442,5694.0
607,Ohio,9683030,77397,76420,30920.0,31304.0,39,2023,153817,62224.0
608,Oklahoma,3261460,28154,29608,12409.0,16208.0,40,2023,57762,28617.0
609,Oregon,3560049,32162,33283,14626.0,14222.0,41,2023,65445,28848.0
610,Pennsylvania,10817285,90534,85201,30209.0,32320.0,42,2023,175735,62529.0
611,Rhode Island,928906,6421,6918,2528.0,3074.0,44,2023,13339,5602.0
612,South Carolina,4444892,34956,36854,13251.0,17700.0,45,2023,71810,30951.0
613,South Dakota,739226,6673,6498,1458.0,2294.0,46,2023,13171,3752.0
614,Tennessee,5845145,59877,57489,21417.0,23484.0,47,2023,117366,44901.0
615,Texas,24317743,240102,233654,82108.0,94986.0,48,2023,473756,177094.0
616,Utah,2658577,28451,29882,10700.0,9913.0,49,2023,58333,20613.0
617,Vermont,554679,5695,4787,1299.0,1152.0,50,2023,10482,2451.0
618,Virginia,7180123,64575,57875,20232.0,26481.0,51,2023,122450,46713.0
619,Washington,6455198,61232,58214,21145.0,19613.0,53,2023,119446,40758.0
620,West Virginia,1483374,12804,14296,6074.0,6458.0,54,2023,27100,12532.0
621,Wisconsin,4901177,40313,40237,14531.0,13366.0,55,2023,80550,27897.0
622,Wyoming,478840,3662,3975,2097.0,2560.0,56,2023,7637,4657.0
623,Puerto Rico,2817547,10612,10231,6593.0,6297.0,72,2023,20843,12890.0
